,SBERT,CLIP,MCLIP,MRR sbert,MRR clip,MRR mclip,error SBERT,error CLIP,error MCLIP,SBERT Accuracy,CLIP Accuracy,MCLIP Accuracy
english,0.007157,0.01683,0.017088,0.5566,0.8087,0.7989,0.582,0.286,0.302,0.418,0.714,0.698
spanish,0.007065,0.007864,0.019061,0.5186,0.5811,0.8559,0.616,0.544,0.218,0.384,0.456,0.782
italian,0.007353,0.005425,0.021635,0.5084,0.4384,0.8447,0.644,0.67,0.24,0.356,0.33,0.76
german,0.007768,0.00546,0.022793,0.5581,0.4388,0.8746,0.58,0.68,0.2,0.42,0.32,0.8
french,0.007774,0.008129,0.021888,0.6106,0.6078,0.8725,0.524,0.512,0.208,0.476,0.488,0.792
