,SBERT,CLIP,MCLIP,MRR sbert,MRR clip,MRR mclip,error SBERT,error CLIP,error MCLIP,SBERT Accuracy,CLIP Accuracy,MCLIP Accuracy
english,0.010966,0.01554,0.015782,0.5255,0.6271,0.6211,0.6022,0.4844,0.5022,0.3978,0.5156,0.4978
spanish,0.010154,0.006589,0.015533,0.5026,0.3865,0.6123,0.6289,0.74,0.5111,0.3711,0.26,0.4889
italian,0.009808,0.005727,0.015199,0.4705,0.3156,0.6074,0.6622,0.7956,0.5133,0.3378,0.2044,0.4867
german,0.010281,0.005582,0.015246,0.478,0.3107,0.616,0.66,0.8044,0.5067,0.34,0.1956,0.4933
french,0.010296,0.007073,0.015602,0.4762,0.3922,0.6248,0.66,0.7222,0.4889,0.34,0.2778,0.5111
polish,0.008881,0.002939,0.015068,0.445,0.1087,0.6129,0.6844,0.9422,0.5044,0.3156,0.0578,0.4956
