,SBERT,CLIP,MCLIP,MRR sbert,MRR clip,MRR mclip,error SBERT,error CLIP,error MCLIP,SBERT Accuracy,CLIP Accuracy,MCLIP Accuracy
english,0.005126,0.01554,0.015782,0.3632,0.6271,0.6211,0.7533,0.4844,0.5022,0.2467,0.5156,0.4978
spanish,0.005029,0.006589,0.015533,0.3417,0.3865,0.6123,0.7844,0.74,0.5111,0.2156,0.26,0.4889
italian,0.004846,0.005727,0.015199,0.3267,0.3156,0.6074,0.7978,0.7956,0.5133,0.2022,0.2044,0.4867
german,0.005038,0.005582,0.015246,0.3304,0.3107,0.616,0.7933,0.8044,0.5067,0.2067,0.1956,0.4933
french,0.005118,0.007073,0.015602,0.3299,0.3922,0.6248,0.8067,0.7222,0.4889,0.1933,0.2778,0.5111
polish,0.004615,0.002939,0.015068,0.3094,0.1087,0.6129,0.8067,0.9422,0.5044,0.1933,0.0578,0.4956
